row,col,python_value,verilog_value
1,42,11,1798
1,43,12,2312
1,44,13,2826
1,45,14,3340
1,46,15,3854
1,47,0,256
1,48,1,770
1,49,2,1284
1,50,3,1798
1,51,4,2312
1,52,5,2826
1,53,6,3340
1,54,7,3854
1,55,8,256
1,56,9,770
1,57,10,1284
1,58,11,1798
1,59,12,2312
1,60,13,2826
1,61,14,3340
1,62,15,3854
1,63,0,256
1,64,1,770
1,65,2,1284
1,66,3,1798
1,67,4,2312
1,68,5,2826
1,69,6,3340
1,70,7,3854
1,71,8,256
1,72,9,770
1,73,10,1284
1,74,11,1798
1,75,12,2312
1,76,13,2826
1,77,14,3340
1,78,15,3854
1,79,0,256
1,80,1,770
1,81,2,1284
1,82,3,1798
1,83,4,2312
1,84,5,2826
1,85,6,3340
1,86,7,3854
1,87,8,256
1,88,9,770
1,89,10,1284
1,90,11,1798
1,91,12,2312
1,92,13,2826
1,93,14,3340
1,94,15,3854
1,95,0,256
1,96,1,770
1,97,2,1284
1,98,3,1798
1,99,4,2312
1,100,5,2826
1,101,6,3340
1,102,7,3854
1,103,8,256
1,104,9,770
1,105,10,1284
1,106,11,1798
1,107,12,2312
1,108,13,2826
1,109,14,3340
1,110,15,3854
1,111,0,256
1,112,1,770
1,113,2,1284
1,114,3,1798
1,115,4,2312
1,116,5,2826
1,117,6,3340
1,118,7,3854
1,119,8,256
1,120,9,770
1,121,10,1284
1,122,11,1798
1,123,12,2312
1,124,13,2826
1,125,14,3340
1,126,15,3854
1,127,0,256
1,128,1,1027
1,129,2,1541
1,130,3,2055
1,131,4,2569
1,132,5,3083
1,133,6,3597
1,134,7,15
1,135,8,513
1,136,9,1027
1,137,10,1541
1,138,11,2055
1,139,12,2569
1,140,13,3083
1,141,14,3597
1,143,0,513
1,144,1,1027
1,145,2,1541
1,146,3,2055
1,147,4,2569
1,148,5,3083
1,149,6,3597
1,150,7,15
1,151,8,513
1,152,9,1027
1,153,10,1541
1,154,11,2055
1,155,12,2569
1,156,13,3083
1,157,14,3597
1,159,0,513
1,160,1,1027
1,161,2,1541
1,162,3,2055
1,163,4,2569
1,164,5,3083
1,165,6,3597
1,166,7,15
1,167,8,513
1,168,9,1027
1,169,10,1541
1,170,11,2055
1,171,12,2569
1,172,13,3083
1,173,14,3597
1,175,0,513
1,176,1,1027
1,177,2,1541
1,178,3,2055
1,179,4,2569
1,180,5,3083
1,181,6,3597
1,182,7,15
1,183,8,513
1,184,9,1027
1,185,10,1541
1,186,11,2055
1,187,12,2569
1,188,13,3083
1,189,14,3597
1,191,0,513
1,192,1,1027
1,193,2,1541
1,194,3,2055
1,195,4,2569
1,196,5,3083
1,197,6,3597
1,198,7,15
1,199,8,513
1,200,9,1027
1,201,10,1541
1,202,11,2055
1,203,12,2569
1,204,13,3083
1,205,14,3597
1,207,0,513
1,208,1,1027
1,209,2,1541
1,210,3,2055
1,211,4,2569
1,212,5,3083
1,213,6,3597
1,214,7,15
1,215,8,513
1,216,9,1027
1,217,10,1541
1,218,11,2055
1,219,12,2569
1,220,13,3083
1,221,14,3597
1,223,0,513
1,224,1,1027
1,225,2,1541
1,226,3,2055
1,227,4,2569
1,228,5,3083
1,229,6,3597
1,230,7,15
1,231,8,513
1,232,9,1027
1,233,10,1541
1,234,11,2055
1,235,12,2569
1,236,13,3083
1,237,14,3597
1,239,0,513
1,240,1,1027
1,241,2,1541
1,242,3,2055
1,243,4,2569
1,244,5,3083
1,245,6,3597
1,246,7,15
1,247,8,513
1,248,9,1027
1,249,10,1541
1,250,11,2055
1,251,12,2569
1,252,13,3083
1,253,14,3597
1,255,0,513
2,0,2,1284
2,1,3,1798
2,2,4,2312
2,3,5,2826
2,4,6,3340
2,5,7,3854
2,6,8,256
2,7,9,770
2,8,10,1284
2,9,11,1798
2,10,12,2312
2,11,13,2826
2,12,14,3340
2,13,15,3854
2,14,0,256
2,15,1,770
2,16,2,1284
2,17,3,1798
2,18,4,2312
2,19,5,2826
2,20,6,3340
2,21,7,3854
2,22,8,256
2,23,9,770
2,24,10,1284
2,25,11,1798
2,26,12,2312
2,27,13,2826
2,28,14,3340
2,29,15,3854
2,30,0,256
2,31,1,770
2,32,2,1284
2,33,3,1798
2,34,4,2312
2,35,5,2826
2,36,6,3340
2,37,7,3854
2,38,8,256
2,39,9,770
2,40,10,1284
2,41,11,1798
2,42,12,2312
2,43,13,2826
2,44,14,3340
2,45,15,3854
2,46,0,256
2,47,1,770
2,48,2,1284
2,49,3,1798
2,50,4,2312
2,51,5,2826
2,52,6,3340
2,53,7,3854
2,54,8,256
2,55,9,770
2,56,10,1284
2,57,11,1798
2,58,12,2312
2,59,13,2826
2,60,14,3340
2,61,15,3854
2,62,0,256
2,63,1,770
2,64,2,1284
2,65,3,1798
2,66,4,2312
2,67,5,2826
2,68,6,3340
2,69,7,3854
2,70,8,256
2,71,9,770
2,72,10,1284
2,73,11,1798
2,74,12,2312
2,75,13,2826
2,76,14,3340
2,77,15,3854
2,78,0,256
2,79,1,770
2,80,2,1284
2,81,3,1798
2,82,4,2312
2,83,5,2826
2,84,6,3340
2,85,7,3854
2,86,8,256
2,87,9,770
2,88,10,1284
2,89,11,1798
2,90,12,2312
2,91,13,2826
2,92,14,3340
2,93,15,3854
2,94,0,256
2,95,1,770
2,96,2,1284
2,97,3,1798
2,98,4,2312
2,99,5,2826
2,100,6,3340
2,101,7,3854
2,102,8,256
2,103,9,770
2,104,10,1284
2,105,11,1798
2,106,12,2312
2,107,13,2826
2,108,14,3340
2,109,15,3854
2,110,0,256
2,111,1,770
2,112,2,1284
2,113,3,1798
2,114,4,2312
2,115,5,2826
2,116,6,3340
2,117,7,3854
2,118,8,256
2,119,9,770
2,120,10,1284
2,121,11,1798
2,122,12,2312
2,123,13,2826
2,124,14,3340
2,125,15,3854
2,126,0,256
2,127,1,770
2,128,2,1541
2,129,3,2055
2,130,4,2569
2,131,5,3083
2,132,6,3597
2,133,7,15
2,134,8,513
2,135,9,1027
2,136,10,1541
2,137,11,2055
2,138,12,2569
2,139,13,3083
2,140,14,3597
2,142,0,513
2,143,1,1027
2,144,2,1541
2,145,3,2055
2,146,4,2569
2,147,5,3083
2,148,6,3597
2,149,7,15
2,150,8,513
2,151,9,1027
2,152,10,1541
2,153,11,2055
2,154,12,2569
2,155,13,3083
2,156,14,3597
2,158,0,513
2,159,1,1027
2,160,2,1541
2,161,3,2055
2,162,4,2569
2,163,5,3083
2,164,6,3597
2,165,7,15
2,166,8,513
2,167,9,1027
2,168,10,1541
2,169,11,2055
2,170,12,2569
2,171,13,3083
2,172,14,3597
2,174,0,513
2,175,1,1027
2,176,2,1541
2,177,3,2055
2,178,4,2569
2,179,5,3083
2,180,6,3597
2,181,7,15
2,182,8,513
2,183,9,1027
2,184,10,1541
2,185,11,2055
2,186,12,2569
2,187,13,3083
2,188,14,3597
2,190,0,513
2,191,1,1027
2,192,2,1541
2,193,3,2055
2,194,4,2569
2,195,5,3083
2,196,6,3597
2,197,7,15
2,198,8,513
2,199,9,1027
2,200,10,1541
2,201,11,2055
2,202,12,2569
2,203,13,3083
2,204,14,3597
2,206,0,513
2,207,1,1027
2,208,2,1541
2,209,3,2055
2,210,4,2569
2,211,5,3083
2,212,6,3597
2,213,7,15
2,214,8,513
2,215,9,1027
2,216,10,1541
2,217,11,2055
2,218,12,2569
2,219,13,3083
2,220,14,3597
2,222,0,513
2,223,1,1027
2,224,2,1541
2,225,3,2055
2,226,4,2569
2,227,5,3083
2,228,6,3597
2,229,7,15
2,230,8,513
2,231,9,1027
2,232,10,1541
2,233,11,2055
2,234,12,2569
2,235,13,3083
2,236,14,3597
2,238,0,513
2,239,1,1027
2,240,2,1541
2,241,3,2055
2,242,4,2569
2,243,5,3083
2,244,6,3597
2,245,7,15
2,246,8,513
2,247,9,1027
2,248,10,1541
2,249,11,2055
2,250,12,2569
2,251,13,3083
2,252,14,3597
2,254,0,513
2,255,1,1027
3,0,3,1798
3,1,4,2312
3,2,5,2826
3,3,6,3340
3,4,7,3854
3,5,8,256
3,6,9,770
3,7,10,1284
3,8,11,1798
3,9,12,2312
3,10,13,2826
3,11,14,3340
3,12,15,3854
3,13,0,256
3,14,1,770
3,15,2,1284
3,16,3,1798
3,17,4,2312
3,18,5,2826
3,19,6,3340
3,20,7,3854
3,21,8,256
3,22,9,770
3,23,10,1284
3,24,11,1798
3,25,12,2312
3,26,13,2826
3,27,14,3340
3,28,15,3854
3,29,0,256
3,30,1,770
3,31,2,1284
3,32,3,1798
3,33,4,2312
3,34,5,2826
3,35,6,3340
3,36,7,3854
3,37,8,256
3,38,9,770
3,39,10,1284
3,40,11,1798
3,41,12,2312
3,42,13,2826
3,43,14,3340
3,44,15,3854
3,45,0,256
3,46,1,770
3,47,2,1284
3,48,3,1798
3,49,4,2312
3,50,5,2826
3,51,6,3340
3,52,7,3854
3,53,8,256
3,54,9,770
3,55,10,1284
3,56,11,1798
3,57,12,2312
3,58,13,2826
3,59,14,3340
3,60,15,3854
3,61,0,256
3,62,1,770
3,63,2,1284
3,64,3,1798
3,65,4,2312
3,66,5,2826
3,67,6,3340
3,68,7,3854
3,69,8,256
3,70,9,770
3,71,10,1284
3,72,11,1798
3,73,12,2312
3,74,13,2826
3,75,14,3340
3,76,15,3854
3,77,0,256
3,78,1,770
3,79,2,1284
3,80,3,1798
3,81,4,2312
3,82,5,2826
3,83,6,3340
3,84,7,3854
3,85,8,256
3,86,9,770
3,87,10,1284
3,88,11,1798
3,89,12,2312
3,90,13,2826
3,91,14,3340
3,92,15,3854
3,93,0,256
3,94,1,770
3,95,2,1284
3,96,3,1798
3,97,4,2312
3,98,5,2826
3,99,6,3340
3,100,7,3854
3,101,8,256
3,102,9,770
3,103,10,1284
3,104,11,1798
3,105,12,2312
3,106,13,2826
3,107,14,3340
3,108,15,3854
3,109,0,256
3,110,1,770
3,111,2,1284
3,112,3,1798
3,113,4,2312
3,114,5,2826
3,115,6,3340
3,116,7,3854
3,117,8,256
3,118,9,770
3,119,10,1284
3,120,11,1798
3,121,12,2312
3,122,13,2826
3,123,14,3340
3,124,15,3854
3,125,0,256
3,126,1,770
3,127,2,1284
3,128,3,2055
3,129,4,2569
3,130,5,3083
3,131,6,3597
3,132,7,15
3,133,8,513
3,134,9,1027
3,135,10,1541
3,136,11,2055
3,137,12,2569
3,138,13,3083
3,139,14,3597
3,141,0,513
3,142,1,1027
3,143,2,1541
3,144,3,2055
3,145,4,2569
3,146,5,3083
3,147,6,3597
3,148,7,15
3,149,8,513
3,150,9,1027
3,151,10,1541
3,152,11,2055
3,153,12,2569
3,154,13,3083
3,155,14,3597
3,157,0,513
3,158,1,1027
3,159,2,1541
3,160,3,2055
3,161,4,2569
3,162,5,3083
3,163,6,3597
3,164,7,15
3,165,8,513
3,166,9,1027
3,167,10,1541
3,168,11,2055
3,169,12,2569
3,170,13,3083
3,171,14,3597
3,173,0,513
3,174,1,1027
3,175,2,1541
3,176,3,2055
3,177,4,2569
3,178,5,3083
3,179,6,3597
3,180,7,15
3,181,8,513
3,182,9,1027
3,183,10,1541
3,184,11,2055
3,185,12,2569
3,186,13,3083
3,187,14,3597
3,189,0,513
3,190,1,1027
3,191,2,1541
3,192,3,2055
3,193,4,2569
3,194,5,3083
3,195,6,3597
3,196,7,15
3,197,8,513
3,198,9,1027
3,199,10,1541
3,200,11,2055
3,201,12,2569
3,202,13,3083
3,203,14,3597
3,205,0,513
3,206,1,1027
3,207,2,1541
3,208,3,2055
3,209,4,2569
3,210,5,3083
3,211,6,3597
3,212,7,15
3,213,8,513
3,214,9,1027
3,215,10,1541
3,216,11,2055
3,217,12,2569
3,218,13,3083
3,219,14,3597
3,221,0,513
3,222,1,1027
3,223,2,1541
3,224,3,2055
3,225,4,2569
3,226,5,3083
3,227,6,3597
3,228,7,15
3,229,8,513
3,230,9,1027
3,231,10,1541
3,232,11,2055
3,233,12,2569
3,234,13,3083
3,235,14,3597
3,237,0,513
3,238,1,1027
3,239,2,1541
3,240,3,2055
3,241,4,2569
3,242,5,3083
3,243,6,3597
3,244,7,15
3,245,8,513
3,246,9,1027
3,247,10,1541
3,248,11,2055
3,249,12,2569
3,250,13,3083
3,251,14,3597
3,253,0,513
3,254,1,1027
3,255,2,1541
4,0,4,2312
4,1,5,2826
4,2,6,3340
4,3,7,3854
4,4,8,256
4,5,9,770
4,6,10,1284
4,7,11,1798
4,8,12,2312
4,9,13,2826
4,10,14,3340
4,11,15,3854
4,12,0,256
4,13,1,770
4,14,2,1284
4,15,3,1798
4,16,4,2312
4,17,5,2826
4,18,6,3340
4,19,7,3854
4,20,8,256
4,21,9,770
4,22,10,1284
4,23,11,1798
4,24,12,2312
4,25,13,2826
4,26,14,3340
4,27,15,3854
4,28,0,256
4,29,1,770
4,30,2,1284
4,31,3,1798
4,32,4,2312
4,33,5,2826
4,34,6,3340
4,35,7,3854
4,36,8,256
4,37,9,770
4,38,10,1284
4,39,11,1798
4,40,12,2312
4,41,13,2826
4,42,14,3340
4,43,15,3854
4,44,0,256
4,45,1,770
4,46,2,1284
4,47,3,1798
4,48,4,2312
4,49,5,2826
4,50,6,3340
4,51,7,3854
4,52,8,256
4,53,9,770
4,54,10,1284
4,55,11,1798
4,56,12,2312
4,57,13,2826
4,58,14,3340
4,59,15,3854
4,60,0,256
4,61,1,770
4,62,2,1284
4,63,3,1798
4,64,4,2312
4,65,5,2826
4,66,6,3340
4,67,7,3854
4,68,8,256
4,69,9,770
4,70,10,1284
4,71,11,1798
4,72,12,2312
4,73,13,2826
4,74,14,3340
4,75,15,3854
4,76,0,256
4,77,1,770
4,78,2,1284
4,79,3,1798
4,80,4,2312
4,81,5,2826
4,82,6,3340
4,83,7,3854
4,84,8,256
4,85,9,770
4,86,10,1284
4,87,11,1798
4,88,12,2312
4,89,13,2826
4,90,14,3340
4,91,15,3854
4,92,0,256
4,93,1,770
4,94,2,1284
4,95,3,1798
4,96,4,2312
4,97,5,2826
4,98,6,3340
4,99,7,3854
4,100,8,256
4,101,9,770
4,102,10,1284
4,103,11,1798
4,104,12,2312
4,105,13,2826
4,106,14,3340
4,107,15,3854
4,108,0,256
4,109,1,770
4,110,2,1284
4,111,3,1798
4,112,4,2312
4,113,5,2826
4,114,6,3340
4,115,7,3854
4,116,8,256
4,117,9,770
4,118,10,1284
4,119,11,1798
4,120,12,2312
4,121,13,2826
4,122,14,3340
4,123,15,3854
4,124,0,256
4,125,1,770
4,126,2,1284
4,127,3,1798
4,128,4,2569
4,129,5,3083
4,130,6,3597
4,131,7,15
4,132,8,513
4,133,9,1027
4,134,10,1541
4,135,11,2055
4,136,12,2569
4,137,13,3083
4,138,14,3597
4,140,0,513
4,141,1,1027
4,142,2,1541
4,143,3,2055
4,144,4,2569
4,145,5,3083
4,146,6,3597
4,147,7,15
4,148,8,513
4,149,9,1027
4,150,10,1541
4,151,11,2055
4,152,12,2569
4,153,13,3083
4,154,14,3597
4,156,0,513
4,157,1,1027
4,158,2,1541
4,159,3,2055
4,160,4,2569
4,161,5,3083
4,162,6,3597
4,163,7,15
4,164,8,513
4,165,9,1027
4,166,10,1541
4,167,11,2055
4,168,12,2569
4,169,13,3083
4,170,14,3597
4,172,0,513
4,173,1,1027
4,174,2,1541
4,175,3,2055
4,176,4,2569
4,177,5,3083
4,178,6,3597
4,179,7,15
4,180,8,513
4,181,9,1027
4,182,10,1541
4,183,11,2055
4,184,12,2569
4,185,13,3083
4,186,14,3597
4,188,0,513
4,189,1,1027
4,190,2,1541
4,191,3,2055
4,192,4,2569
4,193,5,3083
4,194,6,3597
4,195,7,15
4,196,8,513
4,197,9,1027
4,198,10,1541
4,199,11,2055
4,200,12,2569
4,201,13,3083
4,202,14,3597
4,204,0,513
4,205,1,1027
4,206,2,1541
4,207,3,2055
4,208,4,2569
4,209,5,3083
4,210,6,3597
4,211,7,15
4,212,8,513
4,213,9,1027
4,214,10,1541
4,215,11,2055
4,216,12,2569
4,217,13,3083
4,218,14,3597
4,220,0,513
4,221,1,1027
4,222,2,1541
4,223,3,2055
4,224,4,2569
4,225,5,3083
4,226,6,3597
4,227,7,15
4,228,8,513
4,229,9,1027
4,230,10,1541
4,231,11,2055
4,232,12,2569
4,233,13,3083
4,234,14,3597
4,236,0,513
4,237,1,1027
4,238,2,1541
4,239,3,2055
4,240,4,2569
4,241,5,3083
4,242,6,3597
4,243,7,15
4,244,8,513
4,245,9,1027
4,246,10,1541
4,247,11,2055
4,248,12,2569
4,249,13,3083
4,250,14,3597
4,252,0,513
4,253,1,1027
4,254,2,1541
4,255,3,2055
5,0,5,2826
5,1,6,3340
5,2,7,3854
5,3,8,256
5,4,9,770
5,5,10,1284
5,6,11,1798
5,7,12,2312
5,8,13,2826
5,9,14,3340
5,10,15,3854
5,11,0,256
5,12,1,770
5,13,2,1284
5,14,3,1798
5,15,4,2312
5,16,5,2826
5,17,6,3340
5,18,7,3854
5,19,8,256
5,20,9,770
5,21,10,1284
5,22,11,1798
5,23,12,2312
5,24,13,2826
5,25,14,3340
5,26,15,3854
5,27,0,256
5,28,1,770
5,29,2,1284
5,30,3,1798
5,31,4,2312
5,32,5,2826
5,33,6,3340
5,34,7,3854
5,35,8,256
5,36,9,770
5,37,10,1284
5,38,11,1798
5,39,12,2312
5,40,13,2826
5,41,14,3340
5,42,15,3854
5,43,0,256
5,44,1,770
5,45,2,1284
5,46,3,1798
5,47,4,2312
5,48,5,2826
5,49,6,3340
5,50,7,3854
5,51,8,256
5,52,9,770
5,53,10,1284
5,54,11,1798
5,55,12,2312
5,56,13,2826
5,57,14,3340
5,58,15,3854
5,59,0,256
5,60,1,770
5,61,2,1284
5,62,3,1798
5,63,4,2312
5,64,5,2826
5,65,6,3340
5,66,7,3854
5,67,8,256
5,68,9,770
5,69,10,1284
5,70,11,1798
5,71,12,2312
5,72,13,2826
5,73,14,3340
5,74,15,3854
5,75,0,256
5,76,1,770
5,77,2,1284
5,78,3,1798
5,79,4,2312
5,80,5,2826
5,81,6,3340
5,82,7,3854
5,83,8,256
5,84,9,770
5,85,10,1284
5,86,11,1798
5,87,12,2312
5,88,13,2826
5,89,14,3340
5,90,15,3854
5,91,0,256
5,92,1,770
5,93,2,1284
5,94,3,1798
5,95,4,2312
5,96,5,2826
5,97,6,3340
5,98,7,3854
5,99,8,256
5,100,9,770
5,101,10,1284
5,102,11,1798
5,103,12,2312
5,104,13,2826
5,105,14,3340
5,106,15,3854
5,107,0,256
5,108,1,770
5,109,2,1284
5,110,3,1798
5,111,4,2312
5,112,5,2826
5,113,6,3340
5,114,7,3854
5,115,8,256
5,116,9,770
5,117,10,1284
5,118,11,1798
5,119,12,2312
5,120,13,2826
5,121,14,3340
5,122,15,3854
5,123,0,256
5,124,1,770
5,125,2,1284
5,126,3,1798
5,127,4,2312
5,128,5,3083
5,129,6,3597
5,130,7,15
5,131,8,513
5,132,9,1027
5,133,10,1541
5,134,11,2055
5,135,12,2569
5,136,13,3083
5,137,14,3597
5,139,0,513
5,140,1,1027
5,141,2,1541
5,142,3,2055
5,143,4,2569
5,144,5,3083
5,145,6,3597
5,146,7,15
5,147,8,513
5,148,9,1027
5,149,10,1541
5,150,11,2055
5,151,12,2569
5,152,13,3083
5,153,14,3597
5,155,0,513
5,156,1,1027
5,157,2,1541
5,158,3,2055
5,159,4,2569
5,160,5,3083
5,161,6,3597
5,162,7,15
5,163,8,513
5,164,9,1027
5,165,10,1541
5,166,11,2055
5,167,12,2569
5,168,13,3083
5,169,14,3597
5,171,0,513
5,172,1,1027
5,173,2,1541
5,174,3,2055
5,175,4,2569
5,176,5,3083
5,177,6,3597
5,178,7,15
5,179,8,513
5,180,9,1027
5,181,10,1541
5,182,11,2055
5,183,12,2569
5,184,13,3083
5,185,14,3597
5,187,0,513
5,188,1,1027
5,189,2,1541
5,190,3,2055
5,191,4,2569
5,192,5,3083
5,193,6,3597
5,194,7,15
5,195,8,513
5,196,9,1027
5,197,10,1541
5,198,11,2055
5,199,12,2569
5,200,13,3083
5,201,14,3597
5,203,0,513
5,204,1,1027
5,205,2,1541
5,206,3,2055
5,207,4,2569
5,208,5,3083
5,209,6,3597
5,210,7,15
5,211,8,513
5,212,9,1027
5,213,10,1541
5,214,11,2055
5,215,12,2569
5,216,13,3083
5,217,14,3597
5,219,0,513
5,220,1,1027
5,221,2,1541
5,222,3,2055
5,223,4,2569
5,224,5,3083
5,225,6,3597
5,226,7,15
5,227,8,513
5,228,9,1027
5,229,10,1541
5,230,11,2055
5,231,12,2569
5,232,13,3083
5,233,14,3597
5,235,0,513
5,236,1,1027
5,237,2,1541
5,238,3,2055
5,239,4,2569
5,240,5,3083
5,241,6,3597
5,242,7,15
5,243,8,513
5,244,9,1027
5,245,10,1541
5,246,11,2055
5,247,12,2569
5,248,13,3083
5,249,14,3597
5,251,0,513
5,252,1,1027
5,253,2,1541
5,254,3,2055
5,255,4,2569
6,0,6,3340
6,1,7,3854
6,2,8,256
6,3,9,770
6,4,10,1284
6,5,11,1798
6,6,12,2312
6,7,13,2826
6,8,14,3340
6,9,15,3854
6,10,0,256
6,11,1,770
6,12,2,1284
6,13,3,1798
6,14,4,2312
6,15,5,2826
6,16,6,3340
6,17,7,3854
6,18,8,256
6,19,9,770
6,20,10,1284
6,21,11,1798
6,22,12,2312
6,23,13,2826
6,24,14,3340
6,25,15,3854
6,26,0,256
6,27,1,770
6,28,2,1284
6,29,3,1798
6,30,4,2312
6,31,5,2826
6,32,6,3340
6,33,7,3854
6,34,8,256
6,35,9,770
6,36,10,1284
6,37,11,1798
6,38,12,2312
6,39,13,2826
6,40,14,3340
6,41,15,3854
6,42,0,256
6,43,1,770
6,44,2,1284
6,45,3,1798
6,46,4,2312
6,47,5,2826
6,48,6,3340
6,49,7,3854
6,50,8,256
6,51,9,770
6,52,10,1284
6,53,11,1798
6,54,12,2312
6,55,13,2826
6,56,14,3340
6,57,15,3854
6,58,0,256
6,59,1,770
6,60,2,1284
6,61,3,1798
6,62,4,2312
6,63,5,2826
6,64,6,3340
6,65,7,3854
6,66,8,256
6,67,9,770
6,68,10,1284
6,69,11,1798
6,70,12,2312
6,71,13,2826
6,72,14,3340
6,73,15,3854
6,74,0,256
6,75,1,770
6,76,2,1284
6,77,3,1798
6,78,4,2312
6,79,5,2826
6,80,6,3340
6,81,7,3854
6,82,8,256
6,83,9,770
6,84,10,1284
6,85,11,1798
6,86,12,2312
6,87,13,2826
6,88,14,3340
6,89,15,3854
6,90,0,256
6,91,1,770
6,92,2,1284
6,93,3,1798
6,94,4,2312
6,95,5,2826
6,96,6,3340
6,97,7,3854
6,98,8,256
6,99,9,770
6,100,10,1284
6,101,11,1798
6,102,12,2312
6,103,13,2826
